obsnme,obsval,weight,obgnme
actet_mon:2002_12:84165,0.0128999995067715,7500.0,actet_mon
actet_mon:2002_12:85114,0.0110499998554587,7500.0,actet_mon
actet_mon:2002_12:85116,0.0133499996736645,7500.0,actet_mon
actet_mon:2002_1:84012,0.0139499995857477,7500.0,actet_mon
actet_mon:2002_1:84017,0.013150000013411,7500.0,actet_mon
actet_mon:2002_1:84023,0.014050000347197,7500.0,actet_mon
actet_mon:2002_1:84032,0.0127499997615814,7500.0,actet_mon
actet_mon:2002_1:84038,0.0149999996647238,7500.0,actet_mon
actet_mon:2002_1:84124,0.0133999995887279,7500.0,actet_mon
actet_mon:2002_1:84148,0.0122999995946884,7500.0,actet_mon
actet_mon:2002_1:84165,0.0133499996736645,7500.0,actet_mon
actet_mon:2002_1:85114,0.0111999996006488,7500.0,actet_mon
actet_mon:2002_1:85116,0.013549999333918,7500.0,actet_mon
