obsnme,obsval,weight,obgnme,lower_bound,upper_bound
actet_mon:2000_2:84023,0.0178999993950128,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:84032,0.0153000000864267,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:84038,0.0191500000655651,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:84124,0.0194999985396862,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:84148,0.0170499999076128,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:84165,0.0185000002384185,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:85114,0.0139500005170702,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_2:85116,0.0183499995619058,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84012,0.0320499986410141,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84017,0.0277500003576278,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84023,0.0275499988347291,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84032,0.025399999693036,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84038,0.0283499993383884,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84124,0.0296999998390674,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84148,0.0255000013858079,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:84165,0.026750000193715,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:85114,0.0209999997168779,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_3:85116,0.0280999988317489,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84012,0.0753000006079673,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84017,0.0777499973773956,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84023,0.0716499984264373,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84032,0.0761500000953674,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84038,0.0802999958395958,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84124,0.0709999948740005,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84148,0.062399998307228,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:84165,0.0654499977827072,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:85114,0.0526000000536441,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_4:85116,0.062950000166893,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84012,0.0839000046253204,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84017,0.0823500007390976,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84023,0.0830999985337257,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84032,0.0834500044584274,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84038,0.0919499993324279,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84124,0.0835999995470047,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84148,0.0796499997377395,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:84165,0.0773999989032745,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:85114,0.0791999995708465,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_5:85116,0.0750999972224235,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84012,0.072950005531311,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84017,0.1024499982595443,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84023,0.1063999980688095,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84032,0.1030500009655952,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84038,0.1200000047683715,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84124,0.0945499986410141,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84148,0.0891500040888786,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:84165,0.0920000001788139,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:85114,0.0921500027179718,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_6:85116,0.0895500034093856,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84012,0.0581999979913234,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84017,0.0939000025391578,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84023,0.0586500018835067,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84032,0.0894500017166137,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84038,0.1008500009775161,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84124,0.0929000005125999,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84148,0.1019999980926513,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:84165,0.0970000028610229,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:85114,0.1083500012755394,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_7:85116,0.1067000031471252,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84012,0.0577500015497207,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84017,0.0699499994516372,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84023,0.0614000000059604,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84032,0.0733499974012374,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84038,0.0839999988675117,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84124,0.0723500028252601,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84148,0.0785499960184097,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:84165,0.0753000006079673,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:85114,0.0764499977231025,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_8:85116,0.0781499966979026,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84012,0.0300499983131885,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84017,0.0423500016331672,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84023,0.0322000011801719,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84032,0.0429500006139278,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84038,0.0504499971866607,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84124,0.0469999983906745,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84148,0.0508999973535537,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:84165,0.0461999997496604,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:85114,0.0499499998986721,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2000_9:85116,0.0488499999046325,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84012,0.0263499990105628,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84017,0.0398500002920627,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84023,0.0333999991416931,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84032,0.0386000014841556,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84038,0.0381000004708766,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84124,0.0438000001013278,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84148,0.0446499995887279,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:84165,0.045949999243021,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:85114,0.0443999990820884,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_10:85116,0.0479499995708465,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84012,0.0283000003546476,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84017,0.0263999998569488,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84023,0.0280500017106533,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84032,0.0273000001907348,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84038,0.0275999996811151,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84124,0.0342999994754791,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84148,0.0346999987959861,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:84165,0.0286499988287687,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:85114,0.0298000015318393,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_11:85116,0.0284000001847744,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84012,0.0137000000104308,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84017,0.0129500003531575,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84023,0.0132499998435378,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84032,0.0121499998494982,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84038,0.0139000006020069,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84124,0.0125500001013278,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84148,0.0124499993398785,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:84165,0.0120500000193715,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:85114,0.0111499996855854,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_12:85116,0.0120999999344348,12859.265415737325,actet_mon,0,100000000000.0
