parname parval1 parubnd parlbnd
cecn_coef:hru_7157:mon_8 5.0 5.5 4.5
cecn_coef:hru_5621:mon_9 5.0 5.5 4.5
cecn_coef:hru_5625:mon_9 5.0 5.5 4.5
cecn_coef:hru_5628:mon_9 5.0 5.5 4.5
cecn_coef:hru_5635:mon_9 5.0 5.5 4.5
cecn_coef:hru_5637:mon_9 5.0 5.5 4.5
cecn_coef:hru_5643:mon_9 5.0 5.5 4.5
cecn_coef:hru_5678:mon_9 5.0 5.5 4.5
cecn_coef:hru_5679:mon_9 5.0 5.5 4.5
cecn_coef:hru_5686:mon_9 5.0 5.5 4.5
cecn_coef:hru_5690:mon_9 5.0 5.5 4.5
cecn_coef:hru_5693:mon_9 5.0 5.5 4.5
cecn_coef:hru_5697:mon_9 5.0 5.5 4.5
cecn_coef:hru_5703:mon_9 5.0 5.5 4.5
cecn_coef:hru_5728:mon_9 5.0 5.5 4.5
cecn_coef:hru_7128:mon_9 5.0 5.5 4.5
cecn_coef:hru_7156:mon_9 5.0 5.5 4.5
cecn_coef:hru_7157:mon_9 5.0 5.5 4.5
cecn_coef:hru_5621:mon_10 5.0 5.5 4.5
cecn_coef:hru_5625:mon_10 5.0 5.5 4.5
cecn_coef:hru_5628:mon_10 5.0 5.5 4.5
cecn_coef:hru_5635:mon_10 5.0 5.5 4.5
cecn_coef:hru_5637:mon_10 5.0 5.5 4.5
cecn_coef:hru_5643:mon_10 5.0 5.5 4.5
cecn_coef:hru_5678:mon_10 5.0 5.5 4.5
cecn_coef:hru_5679:mon_10 5.0 5.5 4.5
cecn_coef:hru_5686:mon_10 5.0 5.5 4.5
cecn_coef:hru_5690:mon_10 5.0 5.5 4.5
cecn_coef:hru_5693:mon_10 5.0 5.5 4.5
cecn_coef:hru_5697:mon_10 5.0 5.5 4.5
cecn_coef:hru_5703:mon_10 5.0 5.5 4.5
cecn_coef:hru_5728:mon_10 5.0 5.5 4.5
cecn_coef:hru_7128:mon_10 5.0 5.5 4.5
cecn_coef:hru_7156:mon_10 5.0 5.5 4.5
cecn_coef:hru_7157:mon_10 5.0 5.5 4.5
cecn_coef:hru_5621:mon_11 5.0 5.5 4.5
cecn_coef:hru_5625:mon_11 5.0 5.5 4.5
cecn_coef:hru_5628:mon_11 5.0 5.5 4.5
cecn_coef:hru_5635:mon_11 5.0 5.5 4.5
cecn_coef:hru_5637:mon_11 5.0 5.5 4.5
cecn_coef:hru_5643:mon_11 5.0 5.5 4.5
cecn_coef:hru_5678:mon_11 5.0 5.5 4.5
cecn_coef:hru_5679:mon_11 5.0 5.5 4.5
cecn_coef:hru_5686:mon_11 5.0 5.5 4.5
cecn_coef:hru_5690:mon_11 5.0 5.5 4.5
cecn_coef:hru_5693:mon_11 5.0 5.5 4.5
cecn_coef:hru_5697:mon_11 5.0 5.5 4.5
cecn_coef:hru_5703:mon_11 5.0 5.5 4.5
cecn_coef:hru_5728:mon_11 5.0 5.5 4.5
cecn_coef:hru_7128:mon_11 5.0 5.5 4.5
cecn_coef:hru_7156:mon_11 5.0 5.5 4.5
cecn_coef:hru_7157:mon_11 5.0 5.5 4.5
cecn_coef:hru_5621:mon_12 5.0 5.5 4.5
cecn_coef:hru_5625:mon_12 5.0 5.5 4.5
cecn_coef:hru_5628:mon_12 5.0 5.5 4.5
cecn_coef:hru_5635:mon_12 5.0 5.5 4.5
cecn_coef:hru_5637:mon_12 5.0 5.5 4.5
cecn_coef:hru_5643:mon_12 5.0 5.5 4.5
cecn_coef:hru_5678:mon_12 5.0 5.5 4.5
cecn_coef:hru_5679:mon_12 5.0 5.5 4.5
cecn_coef:hru_5686:mon_12 5.0 5.5 4.5
cecn_coef:hru_5690:mon_12 5.0 5.5 4.5
cecn_coef:hru_5693:mon_12 5.0 5.5 4.5
cecn_coef:hru_5697:mon_12 5.0 5.5 4.5
cecn_coef:hru_5703:mon_12 5.0 5.5 4.5
cecn_coef:hru_5728:mon_12 5.0 5.5 4.5
cecn_coef:hru_7128:mon_12 5.0 5.5 4.5
cecn_coef:hru_7156:mon_12 5.0 5.5 4.5
cecn_coef:hru_7157:mon_12 5.0 5.5 4.5
emis_noppt:hru_5621 0.757 1.0 0.757
emis_noppt:hru_5625 0.757 1.0 0.757
emis_noppt:hru_5628 0.757 1.0 0.757
emis_noppt:hru_5635 0.757 1.0 0.757
emis_noppt:hru_5637 0.757 1.0 0.757
