parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
adjmix_rain:hru_37988:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_37988:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
carea_max:hru_36895,log,factor,0.695892,0.5567135999999999,0.8350704,pargp,1.0,0.0,1
carea_max:hru_36899,log,factor,0.618684,0.49494720000000003,0.7424208,pargp,1.0,0.0,1
carea_max:hru_36901,log,factor,0.987654,0.7901232,1.1851848,pargp,1.0,0.0,1
carea_max:hru_36902,log,factor,0.742845,0.594276,0.8914139999999999,pargp,1.0,0.0,1
carea_max:hru_36903,log,factor,0.717685,0.574148,0.861222,pargp,1.0,0.0,1
carea_max:hru_36906,log,factor,0.79562,0.636496,0.954744,pargp,1.0,0.0,1
carea_max:hru_36907,log,factor,0.744725,0.59578,0.89367,pargp,1.0,0.0,1
carea_max:hru_36917,log,factor,0.763654,0.6109232,0.9163848000000001,pargp,1.0,0.0,1
carea_max:hru_36931,log,factor,0.668647,0.5349176,0.8023764,pargp,1.0,0.0,1
carea_max:hru_36962,log,factor,0.684212,0.5473696,0.8210544000000001,pargp,1.0,0.0,1
carea_max:hru_37892,log,factor,0.727041,0.5816328000000001,0.8724492,pargp,1.0,0.0,1
carea_max:hru_37895,log,factor,0.814441,0.6515527999999999,0.9773292,pargp,1.0,0.0,1
carea_max:hru_37896,log,factor,0.849801,0.6798408,1.0197612,pargp,1.0,0.0,1
carea_max:hru_37985,log,factor,0.778915,0.623132,0.934698,pargp,1.0,0.0,1
carea_max:hru_37986,log,factor,0.734756,0.5878048,0.8817071999999999,pargp,1.0,0.0,1
carea_max:hru_37988,log,factor,0.595391,0.4763128,0.7144692,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36895:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36899:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36901:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36902:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36903:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36906:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36906:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36906:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36906:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_36906:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
